,user_nickname,content,region,city,signature,count_en,count_dg,count_sp,count_zh,count_pu,ads_status,phone_status,kind_words,num_words,name_status,name_phone
66,DreamRider, ✋🏻提供5.6北京回加拿大有偿待物，不带烟,,,加拿大代购！正品不解释！,0,0,0,10,2,0,1,0,0,1,1
67,终于18岁的小Jill,啊啊啊啊，放我过去！,辽宁,沈阳,因上努力，果上随缘,0,0,0,8,1,1,1,0,0,1,1
69,村长,"一个误解：
人们总是在往多伦多移，数量增加。

事实是：
这几年人们在往多伦多之外走（见黄线）

人们往滑铁卢KWC区（蓝色）
Hamilton区（绿色）迁移人口逐渐增加！",Toronto,, ,0,0,1,0,0,1,1,0,0,1,1
72,李梓溦Vivien,提供明天中午去多伦多的carpool,北京,海淀,"No pains,No gains......",14,0,2,0,7,1,1,3,4,1,1
76,👾,有没有五月五号从多伦多机场回温莎的车,河北,石家庄,Chaos,5,0,0,0,0,1,1,1,1,1,1
78,YanKee,dt 近20 年的 revitalization 虽说慢； 但steady paced。 高密度；便利的公共交通和就业便利加上不生娃带动 core 区急剧转变。[调皮],Toronto,,哦野,0,0,0,2,0,1,1,0,0,1,1
82,Yu,好玩,,,0,0,0,0,0,0,1,1,0,0,1,1
83,Maggie车房保险,耿耿于怀,Ontario,Toronto,资深产品顾问：金融、车房保险；关注你的生活647-293-0381,0,10,0,18,5,0,0,3,3,0,1
84,Jenny,🔥🔥捡漏捡漏！降价30萬，买到就是赚到！卖家诚意转让，7月底交房賣家已付了手付不要了[大哭][大哭]直接轉名字過去💐💐Newmarket 旁邊Sharon Village開發商Mosalk[微笑]3⃣️分到Highway 3800呎/“45 “Lot 有意請電（416）8858987,Toronto,,0,0,0,0,0,0,1,1,0,0,1,1
94,小妖,"菜单有小改动 请注意。每周四晚10点截单
取货地点：（可以在两个地方。地点A 30 Brightside Ave. Richmond hill. L4e0p6. 地点B 38 willow heights blvd, Markham ON L6C 0X8。 ）A或者B  下单时请标明。好消息👉🏻❇囍辣❇👈🏻试营业了 喜欢吃辣的亲们一定不要错过啊 小店经营鸭货、螃蟹、小龙虾、鲍鱼等十多种产品，敬请您的光临，试营业间大放价全场8.5折，联系群主自取！
1⃣️麻辣小龙虾$14.99
2⃣️麻辣牛肉干$14.99
3⃣️麻辣花蛤$7.99
4⃣️花螺$15.99
5⃣️麻辣鲜虾$9.99
6⃣️麻辣沙孟鱼$9.99
7⃣️麻辣鸭脖$6.99
8⃣️麻辣小鲍鱼$19.99
9⃣️麻辣鸭脚$4.99
🔟麻辣鸭舌$24.99
11.藕片 $4.99 
12. 金针菇$5.99 
13. 海带丝 $4.99
14. 鸡脆骨 $9.99
🍺🍺🍺🍺🍺🍺🍺🍺🍺🍺
1. cici 藕片 1 ，金针菇1  鸭脖1 
2. 小妖 麻辣鲜虾*1，藕*1，A
3. 
4.
5.
6.
7.
8.
9.
10.
11.
12.
13.
14.
15.

                                                —周四晚10点截单",,,0,0,0,0,0,0,1,1,0,0,1,1
96,给我一双慧眼,CMA的具体位置包含哪些?多伦多市的人口是一直在增加的。这几年市中心不断有新建condo，而且空置率极低，可以看出常住人口的增加,Toronto,,"Don't wait for the perfect moment, make the moment perfect!",47,0,9,0,3,1,1,8,11,1,1
104,DBC商学院班主任Max（已满）,"今日要闻一眼扫👇
1.美国国务院报告指责中国人权状况，外交部回应：试图通过这种方式干涉中国内政、影响中国发展，过去是徒劳的，今后也没有成功的可能。

2.携程、飞猪等OTA平台已无法提供南航值机和选座服务，南航拒为未授权第三方平台“选座”。

3.据华尔街日报，滴滴计划最早今年IPO，寻求估值至少700-800亿美金。另据新浪，有媒体报道称滴滴正在推进收购ofo的谈判，滴滴和ofo方面对此都未发表评论。

4.百度官方4月24日宣布，中国首款商用级无人驾驶巴士“阿波龙”面向公众试乘。

5.Google净利润大涨73%，但其中六成来自对外投资收益。

今日汇率：
🇺🇸=6.3158元    🇬🇧=8.7992元
🇦🇺=4.7994元    🇭🇰=0.8053元
🇨🇦=4.9169元    🇸🇬=4.7641元",,,0,0,0,0,0,0,1,1,0,0,0,1
105,Judy,帽子是纯棉的吗？@anna ～🇨🇦 ,,,0,0,0,0,0,0,1,1,0,0,1,1
107,君不见,1,安徽,蚌埠,君不见,0,0,0,3,0,1,1,0,0,1,1
111,榴莲哥,1,广东,深圳,0,0,0,0,0,0,1,1,0,0,1,1
112,前端sitm,  这样得弹窗组件怎么写啊,河北,衡水,给生活留点余地，得到，不喜，失去，不悲。,0,0,0,15,5,1,1,0,0,1,1
114,SarahGong,不过各家都有线路。除了线路，我还会看船是哪年renovation的，free restaurant 多伦多。,Ontario,Toronto,"Live, Love, Lift, Travel
Toronto, Beijiing
UT, Schulich",43,0,7,0,5,1,1,8,8,1,1
117,温莎无忧Carpool,"
              H&X ON THE WAY
  机场&多伦多拼车&包车&搬家服务

4-26 多伦多<> 温莎  接海航新生
4-28 温莎<>多伦多 往返早8晚4
4-29 温莎<>多伦多 往返早8晚4
5-01 温莎<>多伦多 往返早8晚4
5-03 温莎<>多伦多 往返早8晚4
5-05 温莎<>多伦多 往返早8晚4
5-06 多伦多<> 温莎  接加航
5-07 温莎<>多伦多   接加航
5-09 温莎<>多伦多 往返早8晚4
5-11 温莎<>多伦多 往返早8晚4
东温莎 & Lasalle 地区 请提前报地址。到指定地点上车

微信：1828561493 请留信息。谢谢👏
电话：416-999-3636 ",Ontario,Windsor,顺其自然,0,0,0,4,0,1,1,0,0,0,1
118,温莎多伦多接送服务,"
              H&X ON THE WAY
  机场&多伦多拼车&包车&搬家服务

4-26 多伦多<> 温莎  接海航新生
4-28 温莎<>多伦多 往返早8晚4
4-29 温莎<>多伦多 往返早8晚4
5-01 温莎<>多伦多 往返早8晚4
5-03 温莎<>多伦多 往返早8晚4
5-05 温莎<>多伦多 往返早8晚4
5-06 多伦多<> 温莎  接加航
5-07 温莎<>多伦多   接加航
5-09 温莎<>多伦多 往返早8晚4
5-11 温莎<>多伦多 往返早8晚4
东温莎 & Lasalle 地区 请提前报地址。到指定地点上车

微信：1828561493 请留信息。谢谢👏
电话：416-999-3636 ",Ontario,Windsor,顺其自然,0,0,0,4,0,1,1,0,0,0,1
119,Tony.han℡⁴¹6-⁹⁹⁹-³6³6,"
              H&X ON THE WAY
  机场&多伦多拼车&包车&搬家服务

4-26 多伦多<> 温莎  接海航新生
4-28 温莎<>多伦多 往返早8晚4
4-29 温莎<>多伦多 往返早8晚4
5-01 温莎<>多伦多 往返早8晚4
5-03 温莎<>多伦多 往返早8晚4
5-05 温莎<>多伦多 往返早8晚4
5-06 多伦多<> 温莎  接加航
5-07 温莎<>多伦多   接加航
5-09 温莎<>多伦多 往返早8晚4
5-11 温莎<>多伦多 往返早8晚4
东温莎 & Lasalle 地区 请提前报地址。到指定地点上车

微信：1828561493 请留信息。谢谢👏
电话：416-999-3636 ",Ontario,Windsor,顺其自然,0,0,0,4,0,1,1,0,0,1,1
120,陈杭梅_HangmeiChen,我已经定了5月27号游轮，只是想了解沿线港口怎么玩。,Ontario,Markham,0,0,0,0,0,0,1,1,0,0,1,1
121,Manni,@Sarah Gong 10月没有想象中那么冷， ,,,物业管理，买卖投资,0,0,0,8,1,0,1,0,0,1,1
123,董环恺,孤胆英雄,福建,厦门,心向阳光，脚踏实地。,0,0,0,8,2,1,1,0,0,1,1
124,🐨,荷兰猪今天带走免费领养 因为昨天某些原因没被带走 有兴趣请私聊我 谢谢谢谢谢谢,,,"<span class=""emoji emoji2600""></span>️",23,4,2,0,9,0,1,4,5,1,1
129,Mr.Mr,求明天中午温莎去底特律机场的卡普,江苏,南京,宠辱不惊，闲看庭前花开花落；去留无意，漫随天外云卷云舒～,0,0,0,24,4,1,1,0,0,1,1
132,June🍁,@anna ～🇨🇦 亲，那个太阳帽到货了吗？,Toronto,,莲自心中生，心是莲花开。自当常浇灌，馨香满归途……,0,0,0,20,5,1,1,0,0,1,1
133,古笑颜,@crescent   ,广东,深圳,"因何当睡又不睡
因何不当睡又睡",0,0,1,14,0,1,1,0,0,1,1
135,crescent,给你的小沫找个伴,上海,,0,0,0,0,0,0,1,1,0,0,1,1
142,Hera🍒,求5.2号包车温莎到皮尔逊坐7:30分的飞机,广东,广州,"Life is not a destination,but a journey.",32,0,6,0,2,1,1,7,8,1,1
143,哆啦A白😏,@Hera🍒,北京,海淀,It will be better than before. ,24,0,6,0,1,1,1,6,6,1,1
145,billbiubiu,比如我,广东,广州,0,0,0,0,0,0,1,1,0,0,1,1
146,Frankie,比如我,Ontario,Windsor,心中永远有阳光，笑容永远像太阳。,0,0,0,14,2,1,1,0,0,1,1
150,Roger,我来！,Ontario,Windsor,只想夜里翻来覆去的时候有寄托,0,0,0,14,0,1,1,0,0,1,1
151,（相由心生，境由心转)BondNie,房屋保险必保什么？那些是必须的，那些是可选择的？谢谢指教😌,Ontario,Toronto,活着快乐，健康，真实。,0,0,0,8,3,1,1,0,0,1,1
154,古筝娃娃,同问，屋里电线有铝线都必须要求出具ESA证明吗？要怎么申请证明,Toronto,,Good Start Grow Smart 青青宝贝幼儿启蒙教育,18,0,4,10,0,1,1,4,4,1,1
159,周教练,1,,,0,0,0,0,0,0,1,1,0,0,0,1
161,✨LiQun,"🇺🇸New York Yankees 棒球帽🧢特价促销🎈 喜欢的大家一起拼单省邮费[胜利]接龙时请将自己喜欢款式的对应数字🔢和数量 标注清楚 哦😄
1、 Anna  1号  2个
2、Helen 1号，14号，6号各1个
3、芍 1号1个
4、Liqun ：1号、8号各一个
5、",Ontario,Toronto,天下事 了犹未了 何妨以不了了之,0,0,2,14,0,1,1,0,0,1,1
166,小鹰,@古筝娃娃 打电话给esa约时间来人检查，检查后会给你一个整改清单，在规定时间内改完后告诉esa，他们会再次来人检查，之后出具证明,,,非知识青年，莫抬杠~~,0,0,0,8,3,1,1,0,0,1,1
172,JeffWang（贷款经纪）,叫前屋主在交房前必须改好就可以了,Ontario,Mississauga,"密市及周边地区贷款经纪,诚心为您服务！905-3028899,留言必回!",0,10,0,21,5,0,0,2,2,0,1
175,Shirley🇨🇳🇨🇦代购,1,,,中加非全职小代购，12小时时差，聊得来免费代🙉🙉🙉,0,2,0,18,5,0,1,1,1,0,1
176,Sub0206-Ass0314-Apr0420,请问大神Membership of association with organization 党员算么[捂脸]@Aaron晖 ,,,0,0,0,0,0,0,1,1,0,0,1,1
191,Mike,现在building code不给新的建筑用铝线 但是没有要求一定要改掉铝线的,,,0,0,0,0,0,0,1,1,0,0,1,1
196,Alan,@古筝娃娃 我有朋友家一部分铝线一部分铜线拿到保险的,Toronto,,0,0,0,0,0,0,1,1,0,0,1,1
205,Sub202-Ass228-Dip323-Apr327,出生证明没有期限呀,Ontario,Toronto,Photo Nerd,9,0,1,0,0,1,1,2,2,1,1
212,Jennifer@CIBC贷款经理,"🇺🇸New York Yankees 棒球帽🧢特价促销🎈 喜欢的大家一起拼单省邮费[胜利]接龙时请将自己喜欢款式的对应数字🔢和数量 标注清楚 哦😄
1、 Anna  1号  2个
2、Helen 1号，14号，6号各1个
3、芍 1号1个
4、Liqun ：1号、8号各一个
5、Jennifer 1号 1个",Ontario,Toronto,不端不装、有梦有趣，Party 才刚刚开始,5,0,1,13,2,1,1,1,1,0,1
215,Lisa---旅游保险,1,Ontario,Toronto,专业+人品=靠谱,0,0,0,6,2,0,1,0,0,0,1
220,淑嫱🐼,有人卖2手床和台灯吗？@all,Toronto,,0,0,0,0,0,0,1,1,0,0,1,1
221,Shirley,@淑嫱🐼 我有朋友卖床,广东,珠海,此用户未开通朋友圈功能                                ,0,0,32,11,0,1,1,0,0,1,1
222,桑榆未晚,想请问一下群里大佬，别人通过一个URL传给我一个json数据，我用nodejs要怎么接收这个数据?,,,细雨湿衣看不见，闲花落地听无声,0,0,0,14,1,1,1,0,0,1,1
223,DanielX.Zhao,换个保险公司。不是每个保险公司都一样,Ontario,Markham,旺旺旺,0,0,0,3,0,1,1,0,0,1,1
228,筱默,全世界聪明人都在玩的游戏，快来试试！,北京,朝阳,坚信你的每一份努力，都是在扎根！,0,0,0,14,2,1,1,0,0,1,1
230,房东群村助,"             温馨提示
================
房东群村友们：

如果计划在今年8月1号涨租金，你现在需要给租客通知了，记得是N1 Form，这个月月底（4月30号）之前要通知到租客手里，如果是邮寄，请在28号之前寄出哦！

注意租金涨幅最高为1.8%

以下是样本：",,,0,0,0,0,0,0,1,1,0,0,1,1
232,Sub206-Dip404,中国的户口需要在联邦阶段提交吗,黑龙江,哈尔滨,0,0,0,0,0,0,1,1,0,0,1,1
233,全球旅游行程发布网1,台北一天用车（当地用车）,,,全球旅游商家免费发布平台，公众号：tour-mart,8,0,0,15,3,0,1,2,2,0,1
234,frank_f-oakville,1,,,0,0,0,0,0,0,1,1,0,0,1,1
247,LunchBreak,1,,,"<span class=""emoji emoji2615""></span>️<span class=""emoji emoji1f339""></span>",47,8,4,0,17,0,1,5,10,1,1
266,MasonChen,️大家注意了：领事馆的骗子电话升级了，现在是变成药房打来验证你的地址和出生日期，大家小心喽！有人已经接到好几个电话了还有中文翻译！别上当了！,Toronto,,fun,3,0,0,0,0,1,1,1,1,1,1
269,Yan,求5月1号早上温莎去多伦多机场的卡普，一人一大箱,,,素衣莫起风尘叹，只怨清明不到家,0,0,0,14,1,1,1,0,0,1,1
270,房东群物业管理4165808681,房东网 - 文件资料列表,,,0,0,0,0,0,0,1,1,0,0,1,0
274,Aaron,求最近带物回国[嘿哈],Ontario,Toronto,Locking my heart,14,0,2,0,0,1,1,3,3,1,1
277,Double.F,求个5月4日多伦多接机回温莎的carpool,天津,北辰,被手指倒刺打败的男人。,0,0,0,10,1,1,1,0,0,1,1
280,Marvin,提供4.26明天下午温莎去多伦多卡普,,,0,0,0,0,0,0,1,1,0,0,1,1
286,Jacky,还在玩跳一跳吗，信不信玩这个你肯定跳不过我,Paris,,一切都是最好的安排,0,0,0,9,0,1,1,0,0,1,1
289,sub205-ass312-dip404-apr416,你查警察局网站，上面会跟你说去那里做,山西,太原,0,0,0,0,0,0,1,1,0,0,1,1
300,Alvin~裕,“飞刀手”了解一下,云南,大理,不谋万世者不足以谋一时，不谋全局者不足以谋一域,0,0,0,22,1,1,1,0,0,1,1
301,挂支,无家可归！求兄弟收留！,江苏,南京,知不足而后勇。,0,0,0,6,1,1,1,0,0,1,1
302,Banana,找一个从南温莎去大学附近的卡普,Ontario,Windsor,0,0,0,0,0,0,1,1,0,0,1,1
303,ass3.19dip4.20,同问,天津,河西,Pray me make the right decision,26,0,5,0,0,1,1,6,6,1,1
304,"Sub,2.11-assess,3.21-dip,4.25",dip阶段家里新添人了怎么办啊,Toronto,,捧茶观落日 红梅白雪知,0,0,1,10,0,1,1,0,0,1,1
310,彭天阳,提供今晚多伦多回温莎carpool,Canberra,,Trust the process,15,0,2,0,0,1,1,3,3,1,1
312,😃Raymond😄祝你四月光宗耀祖,hcp已经快两月了 还是submitted[捂脸],,,🇨🇦 成功不必在我 而功力必不唐捐,0,0,2,13,2,1,1,0,0,1,1
320,帆,小程序现在好多,北京,海淀,php是门最有意思的语言！q群162542073,4,9,0,10,1,1,1,3,3,1,1
321,黄雪王是巫妖银,求27号，星期五，多伦多回温莎 中午或者下午出发 两个人，行李少,上海,宝山,岂曰无衣！与子偕行.,0,0,0,8,2,1,1,0,0,1,1
322,在变胖,提供周五27号一早去多伦多的卡普,,,0,0,0,0,0,0,1,1,0,0,1,1
323,MikeDeng,提供明天26号去多伦多的carpool,,,0,0,0,0,0,0,1,1,0,0,1,1
326,Steve,maserati ghibli,,,typing. ......,6,0,1,0,7,1,1,1,1,1,1
327,A奔驰加拿大总部直营店🚗ALLEN,Mashayindi,Ontario,Toronto,"ALLEN 416 902 2030 奔驰总部直营4S店
   Mercedes-Benz Midtown",25,11,9,7,1,0,0,8,8,0,1
330,大雅,谢谢,Ontario,Toronto,To boldly go where no man has gone before,33,0,8,0,0,1,1,9,9,1,1
333,房東網廣告商務,[强][强],,,0,0,0,0,0,0,1,1,0,0,0,1
343,Angela游轮度假,华人首富李嘉诚 抢购多伦多地皮盖楼 这个区域引起众多投资者关注,British Columbia,Coquitlam,环游世界  私任订制  财富自由,0,0,4,12,0,0,1,0,0,0,1
344,歌神五五开,求明天去滑铁卢的carpool,Ontario,Windsor,"<span class=""emoji emoji2665""></span><span class=""emoji emoji2665""></span><span class=""emoji emoji2665""></span>",69,12,6,0,24,0,1,4,15,1,1
345,wawa✨,@Aaron晖 晖哥 请问一下，如果当时申请旅游签是借用了别人公司的在职证明，那personal history里在国内的工作经验需要和那份在职证明一致吗？还是可以填实际的工作地点。。,广东,广州,真情可贵,0,0,0,4,0,1,1,0,0,1,1
347,加拿大搜索网www.canadaso.com,"🚀

真相：[嘴唇] 微信疯传，刚刚，加拿大这项服务免费了，是真的吗？

http://www.canadaso.com/services/service/2949",Vancouver,,商务搜索平台 - 免费发布广告 ( 商家黄页  网上购物  便民服务 ),0,0,9,24,3,0,1,0,0,0,1
348,sub409,肯定要一致吧 不然就是misrepresentation？,London,,"Miracles happen every day<span class=""emoji emoji2728""></span>",45,4,5,0,8,0,1,8,9,1,1
351,cici,@囍辣售货员 请问下订单可以取消吗？昨天吃了麻辣东西胃疼了一夜,,,匆匆那年！,0,0,0,4,1,1,1,0,0,1,1
354,囍辣售货员,@cici 可以啊 你把接龙取消,辽宁,大连,"If It's meant to be, It will be.",22,0,7,0,3,1,1,7,9,1,1
357,雯,有去过厄瓜多尔和秘魯的么？五月初去這兩地,,,海阔凭鱼跃，天高任鸟飛,0,0,0,10,1,1,1,0,0,1,1
360,🍃小N家韩式定妆&amp;WNHC诊所,"我们的医师为客人考虑周到，明明可以用快针来打，省时省力，但是为了尽量避免淤青的机率而采用钝针打法，虽然耗时耗人工，但是也不计较付出......,选择一个好的医师很重要！！",,,定妆眉，粉墨眉，沙雾眉，水雾眉，丝雾眉，根状眉，美睫线,0,0,0,21,6,1,1,0,0,0,1
362,俞骅,我有去过。超喜欢。,,,海阔天空，无拘无束，与朋欢乐，尽享人生,0,0,0,16,3,1,1,0,0,1,1
